Case ID,Status,Case Origin,Priority,Case Type,Opened Date,Closed Date,Resolution Time,First Contact Resolution,Escalation Flag,Customer Satisfaction Score
55879123-3110-4f18-ae16-01756f8efcb4,Open,Web,Medium,General,2025-01-09,2025-01-07,36,False,True,2
ecf4e071-22da-4b6c-a6dd-21364cbbf1d2,Escalated,Web,Low,Billing,2025-01-04,,40,False,False,3
34d06e2f-ac7d-4c56-a5b2-23b4eaba154a,Closed,Web,Medium,Technical,2025-01-01,,1,True,True,6
95de2563-c219-4f55-a3ed-54c3782161d8,Escalated,Web,Medium,Technical,2025-01-05,2025-01-07,2,False,False,6
907bdbde-c19e-4c60-94d6-c8ed03649624,Closed,Email,Medium,Technical,2025-01-02,2025-01-01,54,False,True,1
63ba375c-57f0-41c7-9071-d4febc1abc88,Closed,Email,High,Technical,2025-01-04,2025-01-03,40,False,False,5
b6c567a0-2d8a-40c0-a7e0-0c0be82f2f67,Escalated,Email,Medium,Billing,2025-01-10,,20,False,True,7
bfafbbfb-df97-4c43-91f0-8c783bd6d6be,Open,Web,High,General,2025-01-06,2025-01-05,55,True,True,6
99099a4b-c675-4cd5-9949-6deeeded33c8,Closed,Phone,Low,Technical,2025-01-04,,14,False,True,4
9c0b6fb4-8cb3-4c9b-93a2-4e9f5ef9f559,Closed,Web,Medium,Technical,2025-01-03,,48,False,False,1
e985afe7-ce82-47de-abfd-bd144f66078b,Closed,Phone,Medium,Billing,2025-01-02,,41,False,True,1
9f5f9558-4b1a-466a-9a4a-e1f25dbb95c3,Open,Phone,Medium,Technical,2025-01-04,,9,False,False,6
64ad07a2-fe6d-4cea-bbb3-8adc93260172,Open,Email,High,General,2025-01-10,,69,True,False,10
7b51115d-d837-457b-8290-daa88e401d1c,Closed,Email,High,General,2025-01-09,2025-01-08,16,False,False,6
fe56d92b-7c9f-4e6e-8d42-0c1b2a85a813,Escalated,Phone,Low,General,2025-01-08,2025-01-05,66,True,True,5
d56522a2-aaee-4e35-93de-dc98e996e072,Open,Web,Medium,Technical,2025-01-08,,35,True,True,4
be94ff49-374b-43db-a600-44524285bb3c,Open,Email,High,Technical,2025-01-09,,7,True,True,2
16a0397e-21ae-4f49-bbdc-2cecdf35fbd5,Escalated,Phone,High,Billing,2025-01-08,,49,False,False,8
d8e470b9-596e-4cac-ba38-2ff8fb6ff5b7,Escalated,Email,High,General,2025-01-06,,40,False,True,9
345c36ee-76b6-452e-bbf3-38d038abc7fb,Closed,Email,Low,Billing,2025-01-04,2025-01-03,41,True,True,4
f9558e9e-3fe4-4f11-9eaa-5788026b6667,Escalated,Web,Medium,Billing,2025-01-03,2025-01-08,55,False,False,4
3e7ea794-56e6-42ba-910b-2c5e13ab5243,Escalated,Phone,Medium,Technical,2025-01-09,,50,False,False,8
8f67cd19-c38c-4e4b-bba3-4b9449e8e1e5,Escalated,Email,Medium,Technical,2025-01-09,2025-01-04,72,True,False,10
4cbf765e-8c1c-46cb-b243-adeed58bbf69,Escalated,Email,Low,Billing,2025-01-08,,60,True,True,2
11fc68a5-4d61-4338-b71f-3a8bf0f321dd,Escalated,Email,Medium,Billing,2025-01-05,,7,False,True,3
5cf82029-4b78-403b-a819-3462a8246033,Closed,Email,High,Billing,2025-01-09,,42,True,False,7
10577a2c-6ddc-407d-a04b-93ecb03d1f62,Open,Web,Medium,Billing,2025-01-06,2025-01-10,70,True,False,3
a6b6b879-8825-4bba-82d2-e198413c5b3b,Open,Web,Low,General,2025-01-05,,52,True,True,8
e473cec9-8e76-49a6-acd5-19832f0d27e7,Escalated,Web,Medium,General,2025-01-07,2025-01-04,43,False,True,10
0454a694-2e32-43ad-9d3b-00c7da06c9a2,Closed,Web,Medium,Technical,2025-01-08,2025-01-10,23,True,True,2
